120, 231, 0.2, 640, 560, -140, 8, 0.05, z
6, 6, 80, 640, 420, -60, 20, 0.02, z, down
8, 18, 80, 620, 500, -60, 20, 0.02, z, down
0.5, 34, 80, 610, 558, -60, 20, 0.02, z, down
0.5, 34, 80, 600, 558, -60, 20, 0.02, z, down
20, 15, 80, 650, 575, -60, 20, 0.02, z, down
15, 30, 80, 630, 647, -60, 20, 0.02, z, down
8, 8, 80, 675, 670, -60, 20, 0.02, z, down
8, 8, 80, 695, 650, -60, 20, 0.02, z, down
8, 8, 80, 675, 630, -60, 20, 0.02, z, down
5, 5, 80, 665, 789, -60, 20, 0.02, z, down
5, 5, 80, 647, 789, -60, 20, 0.02, z, down
100, 50, 5, 655, 844, -130, 3, 0.01, z, tower
